ClientID,FullName,PhoneNumber,ClientType,Genre
clt_49,Andrée Leleu,+34 841 71 49 82,XL,M
clt_50,Thérèse-Caroline Leconte,+34900 66 73 17,XXL,M
clt_51,Julie Lambert,+1-557-959-4839,L,F
clt_52,Diego Tomé Sancho,5454941502,L,F
clt_53,Anthony Parsons,546.547.8272,XXL,M
clt_54,Carlos Camilo Barrio Saura,+33 (0)4 38 35 65 50,XL,M
clt_55,Kimberly Cuevas,(385)559-3606,XL,M
clt_56,Valérie Mendès,+34915326436,XL,F
clt_57,Américo Ocaña Moliner,+33 5 58 50 63 70,L,M
clt_58,Charlotte Dupré,+33 5 24 45 68 57,L,M
clt_59,Mateo Boada Merino,+34 852204628,L,M
clt_60,Ana Belén Reguera Mayo,+34803098589,L,F
clt_61,Michael Jimenez,611-889-4269,XL,F
clt_62,Christelle Millet-Jacquot,+34 824 325 378,L,F
clt_63,Allison Patterson,+33 3 64 02 47 07,XXL,M
clt_64,Teresa Coleman,+33 3 65 60 92 60,XXL,F
clt_65,Céline Merle,+33 2 33 59 93 03,L,F
clt_66,Eric Hancock,+33 (0)2 57 18 17 93,L,F
clt_67,Julie Polo Iriarte,+34 827 884 028,XL,F
clt_68,Steven Ramirez,+34 972 98 00 57,XXL,F
clt_69,Evita Lobato,0252831426,L,F
clt_70,Caitlin Foster,396-577-4654x272,XL,M
clt_71,Eustaquio Mínguez-Barberá,+1-965-222-6466,XL,F
clt_72,Michael Mendez,848-858-6726x51840,XXL,F
clt_73,Xavier Charpentier,04 23 59 26 52,XXL,M
clt_74,Briana Juarez,+1-799-438-3254x10282,L,F
clt_75,Dr. Justin Orozco,943-913-7571x946,L,F
clt_76,Laurence Fontaine,001-770-465-0361x0366,XL,F
clt_77,André Leroux-Labbé,+34885 814 906,L,F
clt_78,Michelle Fleury de la Vallet,+33 3 76 40 98 59,XXL,F
clt_79,Adam Brown,+34 887 49 81 69,XL,F
clt_80,Verónica Jaume Ródenas,+34944685134,L,M
clt_81,Marcelle Millet,+34939 706 479,XXL,F
clt_82,Taylor Haynes,+1-646-755-2069x2377,L,F
clt_83,Juan Manuel Gras Figueroa,01 80 25 19 96,XL,F
clt_84,Tracy Bush,0388273850,XL,M
clt_85,Primitiva Borrego Sola,+34 733 625 058,XXL,M
clt_86,Glauco Carmona-Fabregat,(876)476-1725,L,M
clt_87,Élodie Dumas,+34 983 026 813,L,F
clt_88,Ms. Krystal Perry,+34 823703718,L,M
clt_89,Anaïs-Susanne Bazin,02 58 86 53 76,L,F
clt_90,Zoé de Vincent,04 77 16 64 04,L,M
clt_91,Agnès Faivre,+33 (0)2 58 68 62 99,L,M
clt_92,Sylvie Baron,0698896075,XL,M
clt_93,Elizabeth Larsen,+34945 84 65 47,L,F
clt_94,Margarita Villalonga,442-561-1992x890,XXL,M
clt_95,Alexandrie Verdier,(403)886-4676x99689,XL,M
clt_96,Adrien Traore de la Chauvet,+33 5 61 29 95 64,L,F
clt_97,Maggie Gimenez,04 95 51 31 69,L,M
clt_98,Arnaude Mathieu,+33 4 97 78 08 85,L,F
clt_99,James Ellis,+34 876 59 84 76,L,M
clt_100,Sophie Le Adam,(823)985-5927,XL,F
clt_101,Charles Brunet,0176544381,L,M
clt_102,Sofía Barreda Tenorio,(297)470-0171x1967,L,F
clt_103,Andrea Martinez,01 64 11 67 72,XL,M
clt_104,Tammy Thompson,+34980 579 430,L,M
clt_105,Ulises Camacho Zaragoza,+34643 089 406,XXL,F
clt_106,Larry Hardin,04 73 94 58 19,XXL,M
clt_107,Kari Lowe,964-387-0207x81763,XL,F
clt_108,Luis Casas Salinas,+34849813441,XL,F
clt_109,Eddie Brown,+33 (0)3 84 96 64 90,XXL,F
clt_110,Joe Page,380.573.0760,XXL,M
clt_111,Mireia Candelas Iniesta Aliaga,0381738366,XL,M
clt_112,Christine Rivière,+33 2 35 22 48 10,L,F
clt_113,Aimée Bègue,5458706422,XL,F
clt_114,Nico Ibañez Llobet,001-340-680-1117,XXL,F
clt_115,Thomas Sanchez-Renard,+34847 997 676,XXL,M
clt_116,Michael Lee,+1-426-855-4073x776,XL,M
clt_117,James Pruitt,001-925-250-5443,XXL,M
clt_118,Kim Petty,001-297-355-4922,XXL,F
clt_119,William Harris,(908)357-9348,XXL,F
