VendeurID,FullName,PhoneNumber,Genre
vnd_0,Héctor Mir Tapia,06 04 49 98 53,M
vnd_1,Antonio Gargallo Balaguer,01 77 40 23 19,F
vnd_2,Sheila Middleton,+34978 320 073,F
vnd_3,Marc Da Costa,05 18 99 90 89,F
vnd_4,Jacob Scott Jr.,+34 982 806 511,M
vnd_5,Lauren Brewer,+1-314-413-5428x15950,M
vnd_6,Chelo Morales Saavedra,563.806.7101,F
vnd_7,Adam Juarez,+33 5 49 13 72 08,F
vnd_8,Paulino Aguiló-Corral,+34 972225730,M
vnd_9,Matthew Howard,+34845 16 36 92,M
vnd_10,Flor Salvà Santiago,+34 957 142 412,F
vnd_11,Stephen Castillo,+34828 39 71 97,F
vnd_12,Honoré Delahaye,+33 (0)3 10 98 77 99,F
vnd_13,Denise Decker,+1-234-498-1015x49805,M
vnd_14,Camille-Simone Labbé,03 28 81 68 48,M
vnd_15,Noël Bernard-Gillet,+34824 258 378,M
vnd_16,Augustin du Lambert,05 64 79 67 52,F
vnd_17,Nereida Camps Pomares,+33 (0)3 51 39 79 61,F
vnd_18,Paul Neveu,(254)703-6768x845,M
vnd_19,Dwayne Alvarez,+34 973124712,M
vnd_20,Lisa Cochran,667-553-3673x93178,F
vnd_21,Robert Perez,02 29 72 46 00,F
vnd_22,Michael Wheeler,+33 (0)1 60 49 07 95,F
vnd_23,Charles Gonzales,620-991-9054x88419,M
vnd_24,Eric Hall,+34827762060,F
vnd_25,Agathe Bonnin,988-336-0480x6152,M
vnd_26,Jordan Wagner,+34 968 877 280,M
vnd_27,Aristides Rozas Castro,+34705008793,F
vnd_28,Luis Lerma-Benítez,+34 880 234 773,M
vnd_29,Catherine Hale,+34826287182,F
